Name,Meaning,Gender,Origin,Similar
Cinneide,Helmeted,Male,Irish,-
Clancy,Ruddy warrior,Male,Irish,-
Cleary,Learned,Male,Irish,-
Cleonie,Glorious,Female,Irish,-
Clodagh,From Clodagh,Female,Irish,-
Cluny,From the meadow,Male,Irish,-
Cochlain,Hooded,Male,Irish,-
Codee,Cushion,Female,Irish,-
Codell,Cushion,Male,Irish,-
Codey,Cushion,Male,Irish,-
Codi,Cushion,Female,Irish,-
Codie,Cushion,Male,Irish,-
Cody,Cushion,Female,Irish,-
Cody,Cushion,Male,Irish,-
Coghlan,Hooded,Male,Irish,-
Coilin,Victory of the people,Male,Irish,-
Coillcumhann,From the narrow forest,Male,Irish,-
Coinneach,Handsome,Male,Irish,-
Coireail,Lordly,Male,Irish,-
Coleman,Dark skinned or coal miner,Male,Irish,-
Colene,Girl,Female,Irish,-
Colla,Unknown,Male,Irish,-
Colleen,Girl,Female,Irish,-
Collena,Girl,Female,Irish,-
Collene,Girl,Female,Irish,-
Collins,Holly,Male,Irish,-
Colm,Dove,Male,Irish,-
Colman,Coal miner,Male,Irish,-
Colmcilla,Dove of the church,Female,Irish,-
Colmcille,Dove of the church,Male,Irish,-
Columbo,Dove,Male,Irish,-
Coman,Bent,Male,Irish,-
Comhghan,Twin,Male,Irish,-
Comyn,Bent,Male,Irish,-
Comyna,Shrewd,Female,Irish,-
Conaire,Wise or red,Male,Irish,-
Conal,High and mighty,Male,Irish,-
Conall,High and mighty,Male,Irish,-
Conan,Exalted,Male,Irish,-
Conary,Exalted,Male,Irish,-
Concepta,Immaculate conception,Female,Irish,-
Conchobara,Strong willed,Female,Irish,-
Conchobarra,Strong willed,Female,Irish,-
Conchobarre,Strong willed,Female,Irish,-
Conchobhar,Strong willed or wise,Male,Irish,-
Congalie,Constant,Female,Irish,-
Conlan,Hero,Male,Irish,-
Conleth,Ardent or wise,Male,Irish,-
Conley,Ardent or wise,Male,Irish,-
Conn,High or mighty,Male,Irish,-
Connacht,Brave or wise,Male,Irish,-
Connal,Constant,Female,Irish,-
Connal,High or mighty,Male,Irish,-
Connell,Surname,Male,Irish,-
Conner,Exalted,Male,Irish,-
Connie,Strong willed or wise,Male,Irish,-
Connlaio,Ardent or wise,Male,Irish,-
Connolly,Brave or wise,Male,Irish,-
Connor,Exalted,Male,Irish,-
Conny,Exalted,Male,Irish,-
Conor,Exalted,Male,Irish,-
Conroy,Wise,Male,Irish,-
Conway,Hound of the plain,Male,Irish,-
Cony,Strong willed or wise,Male,Irish,-
Cooey,Hound of the plain,Male,Irish,-
Cooley,Hound of Ulster,Male,Irish,-
Coolie,Hound of Ulster,Male,Irish,-
Cooney,Handsome,Male,Irish,-
Corbmac,Charioteer,Male,Irish,-
Corcoran,Ruddy,Male,Irish,-
Coreen,Maiden,Female,Irish,-
Coreene,Maiden,Female,Irish,-
Coretta,Maiden,Female,Irish,-
Corey,Dweller near a hollow,Female,Irish,-
Corey,Dweller near a hollow,Male,Irish,-
Cori,Dweller near a hollow,Female,Irish,-
Cori,Dweller near a hollow,Male,Irish,-
Coriann,From the ravine,Female,Irish,-
Corianne,From the ravine,Female,Irish,-
Corie,Dweller near a hollow,Female,Irish,-
Corin,Spear bearer,Male,Irish,-
Corisa,Maiden,Female,Irish,-
Corky,Hill or hollow,Male,Irish,-
Corlan,Spear bearer,Male,Irish,-
Corley,Hill or hollow,Male,Irish,-
Cormac,Raven's son,Male,Irish,-
Cormack,Raven's son,Male,Irish,-
Cormic,Raven's son,Male,Irish,-
Cormick,Raven's son,Male,Irish,-
Cornelius,Ivory colored,Male,Irish,-
Corran,Spear bearer,Male,Irish,-
Correen,Maiden,Female,Irish,-
Correena,Maiden,Female,Irish,-
Corren,Spear bearer,Male,Irish,-
Correy,Dweller near a hollow,Male,Irish,-
Corri,Dweller near a hollow,Female,Irish,-
Corrianna,From the ravine,Female,Irish,-
Corrianne,From the ravine,Female,Irish,-
Corrick,From the ravine,Male,Irish,-
